,Borough,Neighborhood,ID,Name
148,Staten Island,Midland Beach,4cc61c46b2beb1f74faa264c,Everybody's Kitchen
149,Staten Island,Bulls Head,5165e9fee4b08d4837e87f35,Empire East
150,Staten Island,Bulls Head,4d62d78b149637046d7d0395,China House
151,Staten Island,Bulls Head,4d78f78551e8cbfffe9e9fe7,Brothers Three Kitchen
152,Manhattan,Carnegie Hill,49d6a64cf964a520f45c1fe3,Wok 88
153,Staten Island,Shore Acres,4bd36553caff95212bd4d4f0,Island Garden
154,Staten Island,Clifton,4cf9aa7ad8468cfadaa9e86b,Kum Fung Kitchen
155,Staten Island,Elm Park,4dc5dc957d8b14fb46366e20,Mr Rice
156,Brooklyn,New Lots,5090507fe4b095c5d7dab120,Lee Chinese Restaraunt
157,Brooklyn,New Lots,4e1cad94b0fb543b8ff64731,Shung Feng Restaurant
158,Brooklyn,Mill Basin,4e4ce4a1bd413c4cc66d03da,China Wok
159,Brooklyn,Mill Basin,4d483fd056eab60cab1e4086,Mr. Kam
160,Queens,Jamaica Hills,4ce49482e571a09332bc8587,Sagar Chinese
161,Queens,Pomonok,4c561a2d6201e21e10657d6c,New china garden
162,Queens,Astoria Heights,4f3234e019836c91c7c0a983,Chop Sticks Chinese
163,Bronx,Claremont Village,4ca3bffa1ee76dcb1ee6fbdd,Empire King Chinese Food
164,Bronx,Concourse Village,4dab2c191e72c1ab9c0481bc,Good Taste Chinese Restaurant
165,Manhattan,Sutton Place,3fd66200f964a520adea1ee3,Mr. Chow
166,Manhattan,Sutton Place,5cfab769b399f7002c7ef4f6,Hutong
167,Manhattan,Flatiron,59035bc43d47912d4b97f3fc,Xi'an Famous Foods
168,Queens,Sunnyside Gardens,4bb91c86b35776b0e5a1c901,Golden Wok
169,Queens,Blissville,4c7d4d5fb53db1f796b19c11,City Cafe
170,Brooklyn,Weeksville,4daa263f0cb6a89c62682125,Hardee
171,Staten Island,Manor Heights,4be75c8f2468c928fc720243,Tack's Chinese Take Out
172,Staten Island,Willowbrook,4bff2b03daf9c9b6dce8f9ef,Peking Kitchen
173,Staten Island,Willowbrook,5756be91cd1086df18e54a5d,Peking Kitchen
174,Brooklyn,Homecrest,4b46743ff964a520892126e3,"Golden ""Z"" Restaurant"
175,Brooklyn,Homecrest,4d28b924ebacb1f72efbf34f,Wing Hing Seafood Restaurant
176,Staten Island,Prince's Bay,4bb7d282b35776b0b83dc801,Island Taste
177,Bronx,Allerton,4c7dbf7f10916dcba78e2a96,Chef King
178,Bronx,Kingsbridge Heights,4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant
179,Brooklyn,Erasmus,4e10c87122713f7d7bcb9d1d,Kam Man Chinese Food
